num,Changgyeonggung,date
126,27,2017-06-25
127,0,2017-07-02
128,0,2017-07-09
129,0,2017-07-16
130,0,2017-07-23
131,0,2017-07-30
132,0,2017-08-06
133,0,2017-08-13
134,0,2017-08-20
135,0,2017-08-27
136,0,2017-09-03
137,0,2017-09-10
138,25,2017-09-17
139,0,2017-09-24
140,0,2017-10-01
141,24,2017-10-08
142,0,2017-10-15
143,0,2017-10-22
144,0,2017-10-29
145,0,2017-11-05
146,0,2017-11-12
147,0,2017-11-19
148,0,2017-11-26
149,0,2017-12-03
150,0,2017-12-10
151,0,2017-12-17
152,0,2017-12-24
153,0,2017-12-31
154,0,2018-01-07
155,0,2018-01-14
156,0,2018-01-21
157,0,2018-01-28
158,0,2018-02-04
159,24,2018-02-11
160,0,2018-02-18
161,24,2018-02-25
162,0,2018-03-04
163,24,2018-03-11
164,0,2018-03-18
165,0,2018-03-25
166,0,2018-04-01
167,24,2018-04-08
168,0,2018-04-15
169,0,2018-04-22
170,0,2018-04-29
171,0,2018-05-06
172,49,2018-05-13
173,25,2018-05-20
174,0,2018-05-27
175,0,2018-06-03
176,49,2018-06-10
177,0,2018-06-17
178,0,2018-06-24
179,0,2018-07-01
180,0,2018-07-08
181,0,2018-07-15
182,0,2018-07-22
183,0,2018-07-29
184,0,2018-08-05
185,0,2018-08-12
186,0,2018-08-19
187,0,2018-08-26
188,25,2018-09-02
189,0,2018-09-09
190,0,2018-09-16
191,0,2018-09-23
192,0,2018-09-30
193,0,2018-10-07
194,0,2018-10-14
195,0,2018-10-21
196,0,2018-10-28
197,70,2018-11-04
198,0,2018-11-11
199,0,2018-11-18
200,0,2018-11-25
201,0,2018-12-02
202,0,2018-12-09
203,0,2018-12-16
204,0,2018-12-23
205,0,2018-12-30
206,0,2019-01-06
207,0,2019-01-13
208,0,2019-01-20
209,23,2019-01-27
210,0,2019-02-03
211,0,2019-02-10
212,0,2019-02-17
213,0,2019-02-24
214,47,2019-03-03
215,0,2019-03-10
216,24,2019-03-17
217,24,2019-03-24
218,24,2019-03-31
219,48,2019-04-07
220,0,2019-04-14
221,0,2019-04-21
222,0,2019-04-28
223,0,2019-05-05
224,0,2019-05-12
225,25,2019-05-19
226,100,2019-05-26
227,24,2019-06-02
228,0,2019-06-09
229,49,2019-06-16
230,0,2019-06-23
231,0,2019-06-30
232,0,2019-07-07
233,0,2019-07-14
234,25,2019-07-21
235,0,2019-07-28
236,0,2019-08-04
237,0,2019-08-11
238,0,2019-08-18
239,0,2019-08-25
240,23,2019-09-01
241,0,2019-09-08
242,22,2019-09-15
243,22,2019-09-22
244,0,2019-09-29
245,0,2019-10-06
246,0,2019-10-13
247,22,2019-10-20
248,22,2019-10-27
249,22,2019-11-03
250,0,2019-11-10
251,0,2019-11-17
252,0,2019-11-24
253,21,2019-12-01
254,22,2019-12-08
255,22,2019-12-15
256,0,2019-12-22
257,0,2019-12-29
258,0,2020-01-05
259,0,2020-01-12
260,0,2020-01-19
261,0,2020-01-26
